Wavelength,Intensity
1000,2.40E-02
1001,3.30E-02
1002,3.91E-02
1003,3.29E-02
1004,4.16E-02
1005,2.60E-02
1006,2.78E-02
1007,2.63E-02
1008,2.66E-02
1009,2.29E-02
1010,2.13E-02
1011,2.78E-02
1012,3.24E-02
1013,2.65E-02
1014,2.51E-02
1015,2.45E-02
1016,3.00E-02
1017,2.90E-02
1018,2.97E-02
1019,2.79E-02
1020,3.13E-02
1021,3.83E-02
1022,3.97E-02
1023,3.08E-02
1024,2.65E-02
1025,3.54E-02
1026,3.65E-02
1027,3.29E-02
1028,3.26E-02
1029,4.12E-02
1030,3.42E-02
1031,3.58E-02
1032,4.57E-02
1033,4.33E-02
1034,3.80E-02
1035,4.48E-02
1036,4.61E-02
1037,4.84E-02
1038,4.45E-02
1039,5.12E-02
1040,4.59E-02
1041,5.26E-02
1042,5.18E-02
1043,5.06E-02
1044,5.24E-02
1045,5.68E-02
1046,5.98E-02
1047,5.22E-02
1048,6.13E-02
1049,6.24E-02
1050,5.83E-02
1051,5.85E-02
1052,5.97E-02
1053,6.25E-02
1054,6.34E-02
1055,6.27E-02
1056,6.46E-02
1057,6.52E-02
1058,6.37E-02
1059,6.28E-02
1060,6.73E-02
1061,6.99E-02
1062,7.16E-02
1063,7.16E-02
1064,7.47E-02
1065,7.58E-02
1066,7.50E-02
1067,7.69E-02
1068,7.72E-02
1069,7.78E-02
1070,8.31E-02
1071,8.55E-02
1072,8.56E-02
1073,8.86E-02
1074,9.00E-02
1075,9.10E-02
1076,9.44E-02
1077,1.00E-01
1078,1.06E-01
1079,1.04E-01
1080,1.07E-01
1081,1.09E-01
1082,1.08E-01
1083,1.13E-01
1084,1.13E-01
1085,1.11E-01
1086,1.14E-01
1087,1.14E-01
1088,1.14E-01
1089,1.16E-01
1090,1.16E-01
1091,1.15E-01
1092,1.16E-01
1093,1.15E-01
1094,1.19E-01
1095,1.21E-01
1096,1.22E-01
1097,1.21E-01
1098,1.23E-01
1099,1.22E-01
1100,1.24E-01
1101,1.27E-01
1102,1.25E-01
1103,1.30E-01
1104,1.37E-01
1105,1.38E-01
1106,1.42E-01
1107,1.42E-01
1108,1.48E-01
1109,1.53E-01
1110,1.56E-01
1111,1.57E-01
1112,1.59E-01
1113,1.62E-01
1114,1.63E-01
1115,1.60E-01
1116,1.65E-01
1117,1.63E-01
1118,1.62E-01
1119,1.63E-01
1120,1.61E-01
1121,1.57E-01
1122,1.59E-01
