Wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1013.6,8.21E-08,3.94206E-08,6.21477E-08,4.49284E-08,4.62519E-08,4.99593E-08,5.95514E-08,7.22072E-08,5.78874E-08,4.40638E-08,5.20719E-08,3.47312E-08,3.8488E-08,4.21557E-08,3.30045E-08,4.57434E-08,5.80213E-08,4.04376E-08,4.46199E-08,6.97773E-08,4.48319E-08,3.80613E-08,7.10868E-08,6.90537E-08,4.76361E-08,5.51619E-08,4.96528E-08,4.64483E-08,3.4511E-08,2.95138E-08,4.56459E-08
1014.7,6.07E-08,4.31292E-08,5.77774E-08,7.01439E-08,5.68576E-08,6.56175E-08,5.95379E-08,8.13232E-08,4.35005E-08,4.39092E-08,6.88872E-08,5.44365E-08,5.37711E-08,5.4073E-08,5.8283E-08,6.38314E-08,4.3749E-08,6.55035E-08,4.51664E-08,4.88722E-08,5.8919E-08,4.83619E-08,4.5493E-08,5.28321E-08,4.91381E-08,5.17658E-08,3.26797E-08,4.95003E-08,4.49133E-08,5.00946E-08,6.3809E-08
1015.8,5.98E-08,3.5262E-08,5.67559E-08,6.02206E-08,5.38824E-08,4.36994E-08,4.80688E-08,6.44051E-08,5.9832E-08,5.88787E-08,5.58102E-08,4.91E-08,6.75787E-08,5.32415E-08,5.96042E-08,4.51246E-08,5.12615E-08,3.53822E-08,5.7711E-08,3.86291E-08,4.55139E-08,3.39698E-08,4.41974E-08,4.37758E-08,4.22421E-08,7.06469E-08,4.84919E-08,4.90187E-08,3.34826E-08,4.36803E-08,5.32628E-08
1016.9,6.61E-08,4.57011E-08,7.16628E-08,5.20784E-08,6.24975E-08,5.05685E-08,5.82984E-08,6.63631E-08,6.03196E-08,3.86231E-08,4.61544E-08,5.50094E-08,6.5447E-08,3.87092E-08,5.83419E-08,4.04167E-08,4.7107E-08,5.08484E-08,4.20191E-08,5.58102E-08,4.10004E-08,5.2241E-08,6.45855E-08,5.28329E-08,4.21451E-08,5.35732E-08,4.30148E-08,5.89966E-08,4.89865E-08,6.26793E-08,3.65029E-08
1018,6.19E-08,7.35499E-08,6.32018E-08,5.86321E-08,5.30595E-08,4.48421E-08,6.96664E-08,7.5134E-08,5.42992E-08,6.32462E-08,6.58331E-08,6.31353E-08,5.84421E-08,6.00377E-08,5.54342E-08,6.0511E-08,5.33379E-08,5.43395E-08,5.07291E-08,4.60365E-08,4.93499E-08,5.49663E-08,5.15248E-08,6.13124E-08,5.03629E-08,6.7349E-08,5.29008E-08,7.35253E-08,3.93849E-08,6.06189E-08,5.36572E-08
1019.1,5.66E-08,4.49284E-08,5.57062E-08,6.04488E-08,4.37367E-08,6.0496E-08,4.15366E-08,8.81193E-08,4.47486E-08,4.11722E-08,4.23088E-08,6.0803E-08,5.11832E-08,4.53695E-08,5.26308E-08,6.679E-08,5.28488E-08,4.10193E-08,4.47686E-08,4.36579E-08,6.30025E-08,4.34414E-08,3.90565E-08,6.78718E-08,4.53695E-08,5.10546E-08,3.149E-08,6.05668E-08,4.68289E-08,5.89745E-08,5.15914E-08
1020.2,6.93E-08,6.14077E-08,5.80912E-08,7.0255E-08,5.87157E-08,7.45577E-08,6.92475E-08,8.45162E-08,6.71251E-08,5.60606E-08,5.54745E-08,4.64657E-08,7.21801E-08,6.94342E-08,6.52039E-08,8.1602E-08,6.55402E-08,5.11727E-08,7.46559E-08,5.34046E-08,5.45329E-08,5.52332E-08,5.82781E-08,5.96395E-08,6.26854E-08,6.66697E-08,5.86948E-08,6.09571E-08,5.92604E-08,6.78583E-08,5.67528E-08
1021.3,6.01E-08,8.70035E-08,7.94954E-08,6.67305E-08,7.12889E-08,7.37437E-08,6.23733E-08,5.16262E-08,6.01399E-08,5.61344E-08,6.04801E-08,7.02476E-08,5.62156E-08,5.47051E-08,6.49283E-08,7.59333E-08,6.67987E-08,3.99338E-08,8.34671E-08,5.27312E-08,6.18099E-08,6.49953E-08,6.08001E-08,5.30832E-08,6.4128E-08,6.46163E-08,3.74754E-08,6.66623E-08,6.44162E-08,5.60938E-08,5.03648E-08
1022.4,7.69E-08,5.5417E-08,7.46E-08,7.27694E-08,6.77086E-08,5.9175E-08,5.74266E-08,6.53373E-08,5.01565E-08,6.40919E-08,6.47126E-08,5.06111E-08,5.76192E-08,6.00286E-08,5.77908E-08,6.47588E-08,5.55008E-08,6.50823E-08,5.42735E-08,6.08233E-08,5.45011E-08,4.15352E-08,6.06683E-08,5.25143E-08,4.55541E-08,5.22918E-08,4.23908E-08,5.61312E-08,4.6003E-08,6.83759E-08,4.45532E-08
1023.5,7.30E-08,6.62491E-08,7.7497E-08,6.7072E-08,6.36437E-08,7.15536E-08,6.71868E-08,7.45457E-08,6.52076E-08,4.36544E-08,7.16496E-08,6.4579E-08,6.03761E-08,7.1914E-08,5.49123E-08,5.8742E-08,6.2192E-08,5.42699E-08,5.97785E-08,6.85984E-08,5.79671E-08,5.97572E-08,6.78554E-08,6.24762E-08,5.90581E-08,8.11042E-08,5.58646E-08,5.80923E-08,4.89581E-08,7.20826E-08,5.12239E-08
