Wavelength,Intensity
1352,0.660047212
1354,0.641074063
1356,0.624402479
1358,0.606786663
1360,0.594983771
1362,0.584951313
1364,0.57869578
1366,0.574328711
1368,0.571289466
1370,0.570846857
1372,0.571437002
1374,0.569282974
1376,0.568397757
1378,0.560283269
1380,0.552375332
1382,0.548834464
1384,0.551283564
1386,0.552906462
1388,0.556093243
1390,0.5632635
1392,0.566892889
1394,0.571820596
1396,0.58061375
1398,0.587695485
1400,0.590852759
1402,0.597403364
1404,0.598819711
1406,0.599557392
1408,0.610475066
1410,0.616524048
1412,0.618678076
1414,0.625376217
1416,0.637769253
1418,0.641074063
1420,0.644998525
1422,0.650663913
1424,0.649926232
1426,0.646090292
1428,0.64057244
1430,0.641900266
1432,0.638802006
1434,0.639628209
1436,0.633136618
1438,0.633284155
1440,0.632989082
1442,0.635733255
1444,0.633815285
1446,0.635290646
1448,0.62885807
1450,0.618737091
1452,0.615933904
1454,0.611419298
1456,0.606462083
1458,0.609412806
1460,0.606019475
1462,0.593832989
1464,0.589406905
1466,0.583652995
1468,0.577544999
1470,0.574151667
1472,0.571643553
1474,0.564207731
1476,0.553378578
1478,0.545028032
1480,0.544142815
1482,0.542313367
1484,0.546798466
1486,0.549808203
1488,0.550545884
1490,0.546650929
1492,0.547595161
1494,0.540749484
1496,0.538388905
1498,0.536470935
1500,0.537946297
1502,0.534848038
1504,0.535585719
1506,0.534700502
1508,0.5318383
1510,0.536559457
1512,0.539303629
1514,0.542401888
1516,0.54440838
1518,0.549277073
1520,0.551991738
1522,0.559722632
1524,0.570256713
1526,0.589642963
1528,0.613543818
1530,0.628238418
1532,0.651696666
1534,0.673177929
1536,0.684331661
1538,0.687134848
1540,0.683800531
1542,0.664768368
1544,0.648893479
1546,0.632723517
1548,0.618323989
1550,0.610298023
1552,0.606609619
1554,0.594954264
1556,0.583298908
1558,0.562289761
1560,0.541929773
1562,0.526438477
1564,0.518264975
1566,0.504485099
1568,0.501150782
1570,0.498200059
1572,0.492092063
1574,0.480200649
1576,0.477456477
1578,0.473473001
1580,0.466302744
1582,0.458483328
1584,0.457745648
1586,0.45473591
1588,0.45016229
1590,0.449070522
1592,0.445529655
1594,0.439775745
1596,0.435644733
1598,0.434169371
1600,0.432753024
1602,0.432664503
1604,0.427500738
1606,0.422543523
1608,0.419238713
1610,0.415255238
1612,0.414812629
1614,0.414812629
1616,0.411566834
1618,0.409501328
1620,0.406993213
1622,0.398229566
1624,0.396311596
1626,0.393803482
1628,0.389436412
1630,0.382295662
1632,0.377574506
1634,0.373738566
1636,0.37220419
1638,0.367778106
1640,0.368663323
1642,0.36836825
1644,0.36187666
1646,0.359575096
1648,0.351165536
1650,0.346149307
1652,0.343257598
1654,0.341280614
1656,0.339362644
1658,0.341575686
1660,0.336706993
1662,0.335910298
1664,0.328090882
1666,0.315933904
1668,0.30958985
1670,0.302508114
1672,0.290174093
1674,0.27763352
1676,0.274092653
1678,0.26155208
1680,0.245234582
1682,0.229094128
1684,0.215373266
1686,0.194275598
1688,0.173325465
1690,0.15644733
1692,0.139982296
1694,0.126556506
1696,0.107583358
1698,0.101467985
1700,0.095554244
