Wavelength,Intensity
1290,9.2867E-07
1291,9.3804E-07
1292,9.45429E-07
1293,9.49894E-07
1294,9.50951E-07
1295,9.52583E-07
1296,9.58358E-07
1297,9.7189E-07
1298,9.84752E-07
1299,9.96675E-07
1300,1.00499E-06
1301,1.01989E-06
1302,1.02501E-06
1303,1.02785E-06
1304,1.04037E-06
1305,1.05645E-06
1306,1.07648E-06
1307,1.0981E-06
1308,1.10841E-06
1309,1.12022E-06
1310,1.12734E-06
1311,1.13425E-06
1312,1.13801E-06
1313,1.14407E-06
1314,1.15945E-06
1315,1.17888E-06
1316,1.19018E-06
1317,1.21709E-06
1318,1.22873E-06
1319,1.24196E-06
1320,1.25129E-06
1321,1.26435E-06
1322,1.27592E-06
1323,1.29356E-06
1324,1.31201E-06
1325,1.32951E-06
1326,1.34514E-06
1327,1.35572E-06
1328,1.36633E-06
1329,1.37142E-06
1330,1.38302E-06
1331,1.39585E-06
1332,1.41341E-06
1333,1.43414E-06
1334,1.45445E-06
1335,1.4766E-06
1336,1.49706E-06
1337,1.50836E-06
1338,1.52218E-06
1339,1.53498E-06
1340,1.54749E-06
1341,1.56919E-06
1342,1.59017E-06
1343,1.61024E-06
1344,1.63077E-06
1345,1.65344E-06
1346,1.68172E-06
1347,1.69897E-06
1348,1.71033E-06
1349,1.72931E-06
1350,1.74492E-06
1351,1.76003E-06
1352,1.78257E-06
1353,1.80562E-06
1354,1.83014E-06
1355,1.84685E-06
1356,1.85901E-06
1357,1.86901E-06
1358,1.87563E-06
1359,1.89936E-06
1360,1.91941E-06
1361,1.94678E-06
1362,1.97103E-06
1363,1.99605E-06
1364,2.0024E-06
1365,2.01321E-06
1366,2.01742E-06
1367,2.02347E-06
1368,2.04456E-06
1369,2.05585E-06
1370,2.05978E-06
1371,2.0793E-06
1372,2.08475E-06
1373,2.08403E-06
1374,2.09903E-06
1375,2.1018E-06
1376,2.1065E-06
1377,2.10018E-06
1378,2.09656E-06
1379,2.0618E-06
1380,2.05862E-06
1381,2.04647E-06
1382,2.03544E-06
1383,2.03701E-06
1384,2.02766E-06
1385,2.04664E-06
1386,2.07812E-06
1387,2.11985E-06
1388,2.15501E-06
1389,2.20086E-06
1390,2.23251E-06
1391,2.25545E-06
1392,2.26999E-06
1393,2.28687E-06
1394,2.32115E-06
1395,2.33974E-06
1396,2.34768E-06
1397,2.35569E-06
1398,2.39667E-06
1399,2.4206E-06
1400,2.42668E-06
1401,2.44304E-06
1402,2.47343E-06
1403,2.4802E-06
1404,2.4782E-06
1405,2.48195E-06
1406,2.50483E-06
1407,2.52979E-06
1408,2.53993E-06
1409,2.55056E-06
1410,2.55012E-06
1411,2.56964E-06
1412,2.57211E-06
1413,2.57584E-06
1414,2.58233E-06
1415,2.59701E-06
1416,2.60754E-06
1417,2.61094E-06
1418,2.61288E-06
1419,2.60865E-06
1420,2.60151E-06
1421,2.59194E-06
1422,2.57345E-06
1423,2.55438E-06
1424,2.53889E-06
1425,2.52284E-06
1426,2.52155E-06
1427,2.51764E-06
1428,2.51058E-06
1429,2.49009E-06
1430,2.48199E-06
1431,2.44764E-06
1432,2.42539E-06
1433,2.38325E-06
1434,2.33981E-06
1435,2.30095E-06
1436,2.26875E-06
1437,2.23376E-06
1438,2.20301E-06
1439,2.16678E-06
1440,2.13259E-06
1441,2.09685E-06
1442,2.04981E-06
1443,2.01146E-06
1444,1.9702E-06
1445,1.94054E-06
1446,1.90901E-06
1447,1.87526E-06
1448,1.84992E-06
1449,1.81834E-06
1450,1.78342E-06
1451,1.74892E-06
1452,1.71487E-06
1453,1.67227E-06
1454,1.63602E-06
1455,1.59795E-06
1456,1.56959E-06
1457,1.53263E-06
1458,1.50716E-06
1459,1.48238E-06
1460,1.44296E-06
1461,1.41031E-06
1462,1.36991E-06
1463,1.33142E-06
1464,1.29728E-06
1465,1.26758E-06
1466,1.24544E-06
1467,1.22352E-06
1468,1.20605E-06
1469,1.19069E-06
1470,1.17066E-06
1471,1.15421E-06
1472,1.13559E-06
1473,1.11085E-06
1474,1.09145E-06
1475,1.07135E-06
1476,1.05567E-06
1477,1.031E-06
1478,1.0174E-06
1479,1.00095E-06
1480,9.84237E-07
1481,9.66365E-07
1482,9.42038E-07
1483,9.19706E-07
1484,8.98074E-07
1485,8.79015E-07
1486,8.53031E-07
1487,8.34802E-07
1488,8.14904E-07
1489,8.00153E-07
1490,7.92043E-07
1491,7.78098E-07
1492,7.61926E-07
1493,7.49324E-07
1494,7.35107E-07
1495,7.21873E-07
1496,7.04178E-07
1497,6.95341E-07
1498,6.7683E-07
1499,6.7037E-07
1500,6.61164E-07
1501,6.52406E-07
1502,6.45689E-07
1503,6.45113E-07
1504,6.3295E-07
1505,6.23304E-07
1506,6.13673E-07
1507,6.04856E-07
1508,5.90126E-07
1509,5.82351E-07
1510,5.60866E-07
1511,5.50792E-07
1512,5.40868E-07
1513,5.32595E-07
1514,5.23149E-07
1515,5.18768E-07
1516,5.11974E-07
1517,5.03226E-07
1518,4.92296E-07
1519,4.90555E-07
1520,4.8506E-07
1521,4.75054E-07
1522,4.6599E-07
1523,4.61378E-07
1524,4.61996E-07
1525,4.57836E-07
1526,4.6061E-07
1527,4.64518E-07
1528,4.70589E-07
1529,4.82222E-07
1530,4.94885E-07
1531,5.0451E-07
1532,5.22013E-07
1533,5.31719E-07
1534,5.44946E-07
1535,5.47639E-07
1536,5.4968E-07
1537,5.44731E-07
1538,5.40945E-07
1539,5.24804E-07
1540,5.06217E-07
1541,4.94296E-07
1542,4.74176E-07
1543,4.46474E-07
1544,4.3004E-07
1545,4.04338E-07
1546,4.04923E-07
1547,3.91768E-07
1548,3.8253E-07
1549,3.71819E-07
1550,3.59478E-07
1551,3.45529E-07
1552,3.2617E-07
1553,3.15696E-07
1554,2.8825E-07
1555,2.6802E-07
1556,2.52881E-07
1557,2.33863E-07
1558,2.30737E-07
1559,2.19992E-07
1560,2.1323E-07
1561,2.056E-07
1562,2.01418E-07
1563,2.00771E-07
1564,1.96853E-07
1565,2.00935E-07
1566,1.93456E-07
1567,1.90335E-07
1568,1.81543E-07
1569,1.80482E-07
1570,1.76875E-07
1571,1.68841E-07
1572,1.62171E-07
1573,1.64906E-07
1574,1.62227E-07
1575,1.50137E-07
1576,1.49967E-07
1577,1.4184E-07
1578,1.35009E-07
1579,1.34816E-07
1580,1.28297E-07
1581,1.26233E-07
1582,1.21378E-07
1583,1.2206E-07
1584,1.17482E-07
1585,1.10119E-07
1586,1.11181E-07
1587,1.1333E-07
1588,1.06456E-07
1589,1.02766E-07
1590,1.03193E-07
1591,9.81039E-08
1592,8.7528E-08
1593,8.91585E-08
1594,7.69283E-08
1595,7.46806E-08
1596,7.51669E-08
1597,6.90822E-08
1598,6.37511E-08
1599,6.45269E-08
1600,6.41068E-08
1601,5.40485E-08
1602,5.68768E-08
1603,5.5148E-08
1604,4.88275E-08
1605,4.11986E-08
1606,3.84618E-08
1607,4.38538E-08
1608,3.81166E-08
1609,3.89678E-08
1610,4.16373E-08
1611,3.72397E-08
1612,3.48035E-08
1613,4.08172E-08
1614,3.98692E-08
1615,3.62034E-08
1616,2.86024E-08
1617,3.35641E-08
1618,2.80139E-08
1619,3.33117E-08
1620,3.02166E-08
1621,2.75152E-08
1622,2.3537E-08
1623,2.09141E-08
1624,1.96104E-08
1625,2.10317E-08
1626,2.83951E-08
1627,2.03408E-08
1628,1.95937E-08
1629,1.4156E-08
1630,9.11754E-09
1631,9.04551E-09
1632,9.23352E-09
1633,1.10245E-08
1634,1.06233E-08
1635,1.00061E-08
1636,1.24815E-08
1637,1.58637E-08
1638,9.70043E-09
1639,8.38072E-09
1640,8.89663E-09
1641,1.04949E-08
1642,1.79866E-08
1643,1.13256E-08
1644,1.21998E-08
1645,8.87235E-09
1646,1.8873E-08
1647,1.54788E-08
1648,8.70978E-09
1649,1.56346E-08
1650,1.11476E-08
1651,1.64771E-08
1652,2.16535E-08
1653,1.02199E-07
1654,2.49358E-07
1655,6.06869E-07
1656,6.92814E-07
1657,7.39174E-07
1658,7.94624E-07
1659,8.46846E-07
1660,9.17494E-07
1661,9.50767E-07
1662,9.26574E-07
1663,8.18418E-07
1664,5.2363E-07
1665,8.04425E-09
1666,1.87607E-08
1667,1.84946E-08
1668,1.58283E-08
1669,1.45701E-08
1670,1.47178E-08
1671,1.30085E-08
1672,8.3606E-09
1673,1.0756E-08
1674,1.61467E-08
1675,2.09022E-08
1676,1.17635E-08
1677,1.19522E-08
1678,7.94856E-09
1679,1.13943E-08
1680,1.25486E-08
1681,1.4456E-08
1682,9.93852E-09
1683,1.83649E-08
1684,8.15458E-09
1685,1.07164E-08
1686,1.43355E-08
1687,1.29748E-08
1688,7.00539E-09
1689,2.17363E-08
1690,5.89942E-09
1691,1.35983E-08
1692,8.43866E-09
1693,3.50601E-08
1694,2.52916E-08
1695,7.01276E-09
1696,1.53036E-08
1697,2.04064E-08
1698,1.20972E-08
1699,5.22085E-09
1700,1.17863E-08
