,Wavelength,Intensity,Intensity_1425,Intensity_1285,Intensity_830,Intensity_940,Intensity_1150,Intensity_1535
0,750,0.04139192,1.08457834549e-34,1.33877121704e-19,6.04806897844e-06,2.37899850946e-06,7.17517622599e-12,1.87854574894e-226
1,752,0.036671532,1.72082671514e-34,1.84523616058e-19,1.05778293099e-05,3.00489915422e-06,8.97923402187e-12,2.57797769058e-225
2,754,0.034138149,2.72659029838e-34,2.54026505848e-19,1.82503279055e-05,3.78617297005e-06,1.12254341409e-11,3.514469871e-224
3,756,0.034764887,4.31428832127e-34,3.49291164337e-19,3.10626917633e-05,4.75889165709e-06,1.40192292985e-11,4.75952689767e-223
4,758,0.03692364,6.8171834426e-34,4.7970876402e-19,5.21557026414e-05,5.96686211621e-06,1.74905017878e-11,6.40311110499e-222
5,760,0.039796973,1.07574003204e-33,6.58035302603e-19,8.63890726649e-05,7.46312996217e-06,2.1799048442e-11,8.55739503819e-221
6,762,0.043732332,1.69518154402e-33,9.01575749807e-19,0.00014115950339,9.31173963956e-06,2.71412559725e-11,1.13609700623e-219
7,764,0.049103599,2.6676671151e-33,1.23377719237e-18,0.000227538939493,1.15897872025e-05,3.37582156063e-11,1.49834747752e-218
8,766,0.05284566,4.19231193806e-33,1.68636950868e-18,0.000361822554557,1.43898052865e-05,4.19455758944e-11,1.96305721575e-217
9,768,0.054300578,6.57933620223e-33,2.30223807564e-18,0.000567583601703,1.78225232693e-05,5.20654920979e-11,2.55491623376e-216
10,770,0.059908285,1.03113873998e-32,3.13927391208e-18,0.000878331264239,2.20200490032e-05,6.45611013946e-11,3.30326689494e-215
11,772,0.064095554,1.61383326423e-32,4.27552723647e-18,0.00134085291986,2.71395217004e-05,7.99740373456e-11,4.24261824427e-214
12,774,0.068542513,2.52235817796e-32,5.81609687107e-18,0.00201928788878,3.33672884406e-05,9.89655969822e-11,5.41311852741e-213
13,776,0.070759761,3.93696347742e-32,7.90232838476e-18,0.00299991974899,4.0923659201e-05,1.22342292316e-10,6.86095244703e-212
14,778,0.077059954,6.13652559203e-32,1.07240789429e-17,0.00439658356092,5.00682971196e-05,1.51086658264e-10,8.63862402947e-211
15,780,0.08069998,9.55191058636e-32,1.45360503688e-17,0.00635646008962,6.11063016943e-05,1.86394354687e-10,1.08050810265e-209
16,782,0.083563085,1.48478811311e-31,1.96795119467e-17,0.00906587267726,7.43950425932e-05,2.29718795874e-10,1.34256330877e-208
17,784,0.087996955,2.30486371236e-31,2.66111544645e-17,0.0127555210711,9.03518004596e-05,2.82824771378e-10,1.65716140973e-207
18,786,0.09505438,3.5729961954e-31,3.59413673721e-17,0.0177043950486,0.000109462268304,3.47852793588e-10,2.03197396776e-206
19,788,0.100399622,5.53128953175e-31,4.84849512203e-17,0.0242414323309,0.000132289962497,4.27396226526e-10,2.47511145068e-205
20,790,0.105181145,8.55119411079e-31,6.53282189355e-17,0.0327438513802,0.000159486585761,5.24593624994e-10,2.99498512754e-204
21,792,0.115121146,1.32018159204e-30,8.7917668143e-17,0.0436310376834,0.000191803375595,6.43239152363e-10,3.60012741941e-203
22,794,0.125821439,2.03538755906e-30,1.18177008174e-16,0.0573529315844,0.000230103460009,7.87914459408e-10,4.29896951178e-202
23,796,0.136118616,3.13376981675e-30,1.58661409783e-16,0.0743720922813,0.000275375227991,9.64146007599e-10,5.09957694899e-201
24,798,0.150165263,4.81829743691e-30,2.12760554942e-16,0.0951390204104,0.000328746704555,1.1785925218e-09,6.00934620308e-200
25,800,0.168719156,7.39820997383e-30,2.84965580868e-16,0.12006091518,0.000391500899335,1.43926807513e-09,7.03466776594e-199
26,802,0.188815714,1.13440004592e-29,3.8121957107e-16,0.149464798747,0.000465092073246,1.75580726059e-09,8.18056404567e-198
27,804,0.210532098,1.73705013193e-29,5.09377147199e-16,0.18355680596,0.000551162839757,2.13978001045e-09,9.45031311196e-197
28,806,0.237910995,2.6562258845e-29,6.7980634353e-16,0.222380324923,0.000651561985635,2.60506490851e-09,1.08450719607e-195
29,808,0.27050909,4.05624511731e-29,9.06175792937e-16,0.265776468849,0.00076836286085,3.16829132819e-09,1.23635152618e-194
30,810,0.308115603,6.18571509392e-29,1.2064829471e-15,0.313350932684,0.000903882148646,3.84936245189e-09,1.40015073161e-193
31,812,0.34928727,9.42024438567e-29,1.6043953948e-15,0.364451510492,0.00106069878512,4.67207321615e-09,1.57518259792e-192
32,814,0.397824053,1.43265282708e-28,2.13099834918e-15,0.418160316184,0.0012416727532,5.66483952349e-09,1.76039574405e-191
33,816,0.451489925,2.17583664833e-28,2.82706834291e-15,0.473303999716,0.00144996342942,6.86155770566e-09,1.95439798327e-190
34,818,0.504125454,3.30003198052e-28,3.74602774162e-15,0.528483985745,0.00168904711405,8.30261626557e-09,2.1554551611e-189
35,820,0.558955016,4.99823354268e-28,4.95777894437e-15,0.582127059012,0.00196273332674,1.00360854182e-08,2.36150174632e-188
36,822,0.612363583,7.55999443164e-28,6.55367371823e-15,0.632554632333,0.00227517940226,1.21191139574e-08,2.57016402523e-187
37,824,0.665437948,1.14191280081e-27,8.65294534263e-15,0.678066973981,0.00263090287494,1.46195675617e-08,2.7787962299e-186
38,826,0.712490078,1.72246712642e-27,1.14110233162e-14,0.717036794294,0.00303479109783,1.76179478956e-08,2.98452934009e-185
39,828,0.756942059,2.59463025309e-27,1.50302675945e-14,0.748005152811,0.00349210750498,2.12096378477e-08,3.18433166536e-184
40,830,0.788633753,3.90307186712e-27,1.97738083349e-14,0.769771868351,0.00400849389357,2.55075250626e-08,3.37507967464e-183
41,832,0.809595334,5.86332750816e-27,2.59833662793e-14,0.781472643655,0.00458996807982,3.0645063686e-08,3.55363693217e-182
42,834,0.813587038,8.79606223357e-27,3.41021686859e-14,0.78263600176,0.00524291626935,3.67798430469e-08,3.7169384635e-181
43,836,0.800753158,1.31776803414e-26,4.47043792458e-14,0.773214807071,0.00597407948148,4.4097741995e-08,3.8620774479e-180
44,838,0.771513499,1.97149726205e-26,5.85328440883e-14,0.753589434011,0.00679053337939,5.28177589184e-08,3.98639084982e-179
45,840,0.730557189,2.94550607653e-26,7.65474402649e-14,0.724542286364,0.00769966088603,6.31976202461e-08,4.08754048493e-178
46,842,0.680384489,4.39470980445e-26,9.99869235225e-14,0.687206046295,0.00870911701011,7.55402846597e-08,4.16358608241e-177
47,844,0.623187089,6.54797506751e-26,1.30447940481e-13,0.64299042355,0.00982678536993,9.02014764722e-08,4.21304715772e-176
48,846,0.567383344,9.7429475916e-26,1.69985835975e-13,0.593494004043,0.0110607259846,1.0759839989e-07,4.23495094066e-175
49,848,0.51303199,1.4477055877e-25,2.21243098251e-13,0.540408865151,0.0124191140048,1.28219806355e-07,4.2288641915e-174
50,850,0.462618513,2.14820968252e-25,2.87612803553e-13,0.48542584135,0.0139101691777,1.52637610119e-07,4.19490745147e-173
51,852,0.415267477,3.18331505855e-25,3.73446322363e-13,0.430147712164,0.0155420759826,1.81520272848e-07,4.13375107289e-172
52,854,0.37143059,4.71073975719e-25,4.84316924789e-13,0.376016273305,0.0173228945358,2.15648206706e-07,4.04659321151e-171
53,856,0.332115997,6.9615370072e-25,6.27353886404e-13,0.324257449529,0.0192604625427,2.5593147726e-07,3.93512079044e-170
54,858,0.296287266,1.02737192769e-24,8.11665388829e-13,0.275846566191,0.0213622887701,3.03430123012e-07,3.80145521212e-169
55,860,0.26486592,1.51410776998e-24,1.04887310409e-12,0.231493872478,0.0236354387182,3.59377447728e-07,3.64808525857e-168
56,862,0.238312844,2.22839623706e-24,1.35378706016e-12,0.191648628622,0.026086413394,4.25206685315e-07,3.47779014282e-167
57,864,0.215851227,3.27517552259e-24,1.74525646687e-12,0.156518699243,0.0287210223052,5.02581485155e-07,3.29355602968e-166
58,866,0.19690717,4.80710133867e-24,2.24724095334e-12,0.126101729274,0.0315442520248,5.93430718943e-07,3.0984895158e-165
59,868,0.180534198,7.04593302188e-24,2.89015751897e-12,0.100223635579,0.0345601318935,6.9998816853e-07,2.89573154453e-164
60,870,0.16579946,1.03133623908e-23,3.71257190125e-12,0.0785802780238,0.0377715986405,8.24837718471e-07,2.68837503901e-163
61,872,0.154389888,1.50753908585e-23,4.76331959092e-12,0.0607786805414,0.0411803618991,9.70964747331e-07,2.47938918716e-162
62,874,0.144187586,2.20061170369e-23,6.1041620776e-12,0.0463749305642,0.04478677277,1.14181448871e-06,2.27155283391e-161
63,876,0.132804143,3.20792931843e-23,7.81310893374e-12,0.0349067628275,0.0485896977319,1.34135821677e-06,2.06739886392e-160
64,878,0.123720545,4.66995502442e-23,9.98856706974e-12,0.0259197122693,0.0525864003138,1.57416820243e-06,1.86917083156e-159
65,880,0.117054919,6.78902081267e-23,1.27545161588e-11,0.018986507068,0.0567724330204,1.84550248523e-06,1.67879245366e-158
66,882,0.112063105,9.85616844318e-23,1.62669553354e-11,0.0137200050907,0.0611415420318,2.16140061329e-06,1.49784996161e-157
67,884,0.10895071,1.42894538075e-22,2.07219226246e-11,0.0097804259182,0.0656855871827,2.52879161936e-06,1.3275867463e-156
68,886,0.107943722,2.06885320059e-22,2.63654573258e-11,0.00687789531476,0.0703944796568,2.95561562573e-06,1.1689092481e-155
69,888,0.106025898,2.99123309455e-22,3.35059593763e-11,0.00477142006942,0.0752561397057,3.45096060439e-06,1.02240266402e-154
70,890,0.106298886,4.31894201717e-22,4.25295016696e-11,0.00326538236275,0.0802564765244,4.02521596224e-06,8.88354775616e-154
71,892,0.10635331,6.22746112153e-22,5.39187751557e-11,0.00220452348886,0.0853793921729,4.69024477369e-06,7.66786046864e-153
