,Wavelength,Intensity,Intensity_1416,Intensity_1320,Intensity_1200,Intensity_1655,Intensity_1535
48,1048,1.46768e-07,9.71090578884e-21,4.13936433721e-18,1.88347668055e-07,0.0,8.27025803151e-208
49,1049,1.63399e-07,1.16460358363e-20,5.01031666419e-18,1.90832126608e-07,0.0,5.47900086969e-207
50,1050,1.70517e-07,1.39598264324e-20,6.06028878766e-18,1.93334363024e-07,0.0,3.61576815818e-206
51,1051,1.6154e-07,1.67249731827e-20,7.32517640175e-18,1.9585421977e-07,0.0,2.37693157191e-205
52,1052,1.63961e-07,2.00278512264e-20,8.84788518918e-18,1.9839153313e-07,0.0,1.55650198725e-204
53,1053,1.77929e-07,2.39710356779e-20,1.06796616226e-17,2.00946133172e-07,0.0,1.01531213431e-203
54,1054,1.71262e-07,2.86762762205e-20,1.28816688277e-17,2.03517843721e-07,0.0,6.59730208582e-203
55,1055,1.63805e-07,3.42880057725e-20,1.55268511665e-17,2.06106482336e-07,0.0,4.27021814294e-202
56,1056,1.5717e-07,4.09774768566e-20,1.87021386993e-17,2.08711860283e-07,0.0,2.75328170582e-201
57,1057,1.68855e-07,4.89476353104e-20,2.2511051423e-17,2.11333782517e-07,0.0,1.76834962098e-200
58,1058,1.8092e-07,5.84388596389e-20,2.70767733553e-17,2.13972047662e-07,0.0,1.13136441609e-199
59,1059,1.52853e-07,6.97357160658e-20,3.25457783618e-17,2.16626447994e-07,0.0,7.21030761284e-199
60,1060,1.65254e-07,8.31749046889e-20,3.90921033698e-17,2.19296769426e-07,0.0,4.57743270809e-198
61,1061,1.66246e-07,9.91546016497e-20,4.69223805663e-17,2.21982791499e-07,0.0,2.89472319161e-197
62,1062,1.77063e-07,1.18145436564e-19,5.62817586852e-17,2.24684287368e-07,0.0,1.82351361161e-196
63,1063,1.81334e-07,1.40703384387e-19,6.74608649311e-17,2.27401023798e-07,0.0,1.14426832235e-195
64,1064,1.86703e-07,1.67484897286e-19,8.08039839173e-17,2.30132761156e-07,0.0,7.15259505019e-195
65,1065,2.01188e-07,1.99264655994e-19,9.67186587085e-17,2.32879253412e-07,0.0,4.4536521869e-194
66,1066,2.12251e-07,2.3695638267e-19,1.1568695225e-16,2.35640248136e-07,0.0,2.7623954731e-193
67,1067,2.00062e-07,2.8163722988e-19,1.38278645778e-16,2.384154865e-07,0.0,1.70675941349e-192
68,1068,2.08906e-07,3.3457634445e-19,1.65166695008e-16,2.41204703288e-07,0.0,1.05045065672e-191
69,1069,2.04468e-07,3.97268302445e-19,1.97145315838e-16,2.44007626895e-07,0.0,6.44014882935e-191
